ɂah,snowshoe
tłı̨ ı̨ghǫ̀ǫ,mean dog
tłı̨ kàyı̨̀ı̨hdoo k'è,dog bite
tłı̨ k'adats'eewo,tease a dog
tłı̨ łexè k'eɂàa,pack of dogs
tłı̨ nàhtsı̨̀ı̨ dǫǫ̀,dog catcher
tłı̨ nakweè whedaa,lead dog
tłı̨ nakweè whetı̨ı̨,lead dog
tłı̨ tanı whetee,middle dogs of a team
tłı̨ xàyı̨̀ı̨hdoo k'è,dog bite
tłı̨ xè eghàlaeda,handle dogs
tłı̨ yaachı,be taken along by dogteam; be carried along by dogteam; travel by dogteam
tłı̨ą,puppy
tłı̨cho,horse
Tłı̨chǫ,Dogrib
tłı̨cho behchı̨ı̨̀,horse wagon
Tłı̨chǫ Dè Wexoedıı Nàowoò,Tłįchǫ Land Protection Law
Tłı̨chǫ dèe,Dogrib land
Tłı̨chǫ Dexè Sıgogı̨̀ı̨̀làa Enı̨htł'è,Tłįchǫ Agreement
Tłı̨chǫ got'ı̨ı̨̀,Dogrib people
Tłı̨chǫ gha Nàowodeè Nı̨htł'è,Tłįchǫ Constitution
tłı̨cho hanàı̨htsoo,horsepower
tłı̨cho kanànı̨htsoo,horsepower
Tłı̨chǫ Nèk'e Ełexè Eghàlagıı̀dèe,Tłįchǫ Community Services Agency
tłı̨choa,donkey
tłı̨chodıı̀,oatmeal; porridge
Tłı̨ehdlıı Tı̀,Germaine Lake
tłı̨ezıı̀,male dog
tłı̨ezhıı̀,male dog
tłı̨ı̨̀dè,head dress which stands on lead dog's collar
tłı̨ı̨̀lı̀,dog bells
tłı̨ı̨̀lı̀a,bells
tłı̨jı̀ı̀,type of inedible berry
tłı̨keè nàı̨ɂa,(landmarks?)
Tłı̨keèdeè,Boundary Creek
tłı̨kǫ̀,doghouse
tłı̨kwı̨ı̨̀,dog pen; kennel
tłı̨mǫ,mother dog
tłı̨mǫǫ̀tǫ,dog collar
tłı̨rehxoo,dog-barker (old word); thing whirled in the air to make a sound
tłı̨tł'ıı̀,harness for dogs; dog chain
tłı̨tso,horse
Tłı̨tsǫ,Dogrib
tłı̨tso behtsı̨ı̨̀,horse wagon
tłı̨tsǫ̀ dawhedarezaà,season when dog shit is sticking up; March
Tłı̨tsǫ got'ı̨ı̨̀,Dogrib people
tłı̨tso hanàı̨htsoo,horsepower
tłı̨tsoa,donkey
tłı̨tsodıı̀,oatmeal; porridge
tłı̨ts'è,female dog; bitch
tłı̨yeè,dogpack
tłı̨yeèwò,dog harness bag
tłı̨zǫ̀ą,old dog
tłı̨zǫǫ̀,old dog
tłı̨zhǫą,old dog
tłı̨zhǫǫ̀,old dog
tł'à,bay; cove
tł'àɂeh,pants
tł'àɂeh nek'ǫ̀ą,shorts
tł'àɂeh weketsı̨ı̨̀,ankle of pants; hem of pants
tł'àɂet'àa,underwear; panties
tł'àɂet'àa nedèe,long underwear; longjohns
tł'àɂetł'ıı̀,suspenders
tł'ą̀ą,beach; area around a bay
tł'àat'àa,underwear; panties
tł'àk'e,crooked
tł'àk'e goèɂà,"sloping, crooked path"
tł'àk'e goòɂà,"sloping, crooked path"
tł'àxǫǫ,after
tł'eh,flint
tł'eh geekwı̨ı̨̀,flint
tł'ehgwe,percussion cap; cap of a rifle shell
tł'ehtè,fungus on dried birch; woody substance on dried birch
tł'eht'àa,dried brown soft sap on green birch; incense
tł'ehwò,"pouch, originally a flint bag"
tł'ehwòa,small pouch
tł'ehwhò,"pouch, originally a flint bag"
tł'ehwhòa,small pouch
tł'ets'ekwı̨̀ı̨,fire starter; firestone
tł'ı,string; rope
tł'ı ehdoo,hemp rope
tł'ı łataı̨t'ıı,line strung out
tł'ı nawhet'ıı,boundary; border
tł'ıhgǫǫ̀,babiche
tł'ık'eetı̨̀ı̨,fiddle; guitar
tł'ı̨kw'eè,thread
tł'ı̨kw'èè,thread
tł'ınàakwòo,babiche
tł'ıwhotł'ıı̀,Vas deferens
tł'o,grass; hay; brush; broom; marijuana
tł'o ta zhà,ticks
tł'o t'à ts'ets'ı̀,brush (hair)
tł'o t'à wek'ets'eewo,brush (coat etc) with broom
tł'ochı̨̀ą,burrs
tł'odzıı̀tı̀,"lake with dead weeds, frequently used by muskrats"
tł'oelı̨ı̨̀,fresh grass
tł'oh,grass; hay; brush; broom; marijuana
Tł'oh Gotaezèe Dzęę̀,Palm Sunday
Tł'oh Gotaezhèe Dzęę̀,Palm Sunday
tł'ǫhbàa,tent made of canvas
tł'ǫhbàa goèch'oa,tepee
tł'ǫhbàa goèts'oa,tepee
tł'ǫhbàa k'oèch'oo,tent made with one pole
tł'ǫhbàa k'oèts'oo,tent made with one pole
tł'ǫhbàa kwı̀t'aı̨̀ɂaa,tent support pole
tł'ǫhbàa sǫǫ̀łı̨ı̨,tepee
tł'ǫhbàachàa,tent flaps
tł'ohchı̨ı̨̀,stem of grass
tł'ǫhmbàa,tent made of canvas
tł'ohtsı̨ı̨̀,stem of grass
tł'ojıı̀tı̀,"lake with dead weeds, frequently used by muskrats"
tł'ok'à,foxtail grass
tł'ok'àa,burr
tł'ok'àhwhıı̀,cattail; reed
tł'okwı̀ts'ı̀ı,hair brush
tł'olà,grain; wheat; grass tip
tł'olàłè,flour; wheat flour
tł'orelı̨ı̨̀,fresh grass
tł'otè,grassy area without trees
tł'otǫ,"basket, woven"
tł'otsı̨̀ą,burrs
tł'ots'ıı̀,onion; wild onion
tsà,shade; shelter
tsà,beaver
tsà ekòo,"beaver, two years old"
tsàɂèè,beaver dam
Tsàaht'ı̨ı̨̀,Beaver people
tsàdeè,largest beaver
tsàechı̨ı̨̀,beaver stump
tsaèhdlı̨ı̨,eddy
tsàewò,beaver pelt; beaver fur
tsàgozeè,beaver hook
tsàıdàa,shrew
tsàkę̀ę̀,beaver lodge
tsàkı̨̀ı̨̀,beaver lodge
tsàlı̨ı̨̀,beaver castor
tsànıeda,"be suffering from hardship, sickness, abuse (one person)"
tsàndeè,largest beaver
tsàwò,fur; pelt; animal skin; fur-bearing animals
tsàwò ɂeh,fur parka; fur coat; fur jacket
tsàwò dzıh,fur mitts
tsàwò enı̨htł'è,trapping license
tsàwò jıh,fur mitts
tsàwò kechąąmǫǫ̀ nawhet'ıı,fur trim on mocassins
tsàwò ketsąąmǫǫ̀ nawhet'ıı,fur trim on mocassins
tsàwò nàehdı̀ı dǫǫ̀,fur trader
tsàwò nıts'ele,trade in furs
tsàwò sıı̀ts'ehɂı̨,preparing an animal pelt
tsàwò sǫǫ̀mbaà,fur cheque; fur money
tsàwò ts'ah,fur hat
tsàwòdaedlı̀ı,hanging pelts
tsàwòechı̨ı̨̀,beaver pelt stretcher
tsàwòetsı̨ı̨̀,beaver pelt stretcher
tsàzea,beaver one year old
tsàzhea,beaver one year old
tsedeetı̨,raining intermittently; (rain) showers
tsedıı̀ch'è,cry with anger
tsedıı̀ts'è,cry with anger
tseè,cheque
tsèe,lynx (old word)
tseèhgà,entrance of house or tent; doorway
tseeko,young man; unborn child; fetus
tseeko k'eè eyats'ı̨lı̨,be in labour
tsekaa,child; children
tseko,young man; unborn child; fetus
tseko ghàehtǫǫ dǫǫ̀,teacher
tseko ghàehtǫǫ k'àowo,principal at school
tseko ghàehtǫǫ ts'àdıı,teacher's assistant
tseko nageete kǫ̀,hostel
tseko ǫhdaà,adult; middle-aged person
tsekoa,child; children
tsekoa goǫ̀tè,adopt a child; be given a child
tsekoa gotł'aà k'ètaı̀dzǫǫ,Godchild
tsekoa k'èdı̀,babysit
tsekoa kwǫǫ̀,diaper
tsekoa nàts'ehte,adopt a child
tsekoa sǫǫ̀mbaà,family allowance
tsekoa yet'à nàgozee,toys
tsekolèa,baby powder (old word)
tsets'eeghoò,howl; bawl
tse k'è dı̀ı̀ anat'ı̨̀,he cried and cried
tsı,soft snow
tsı,too; also
tsı nı̨hts'ı,blowing snow; snow storm
tsı nı̨hts'ı,snowstorm
tsıa,caribou calf
tsıa,duckling
tsı̨ą,bird
tsı̨ą dèhtł'èe,mountain bluebird
tsı̨ą dekwoo,yellow warbler
tsı̨ą weèhdà,bird beak
tsı̨ąhkwoa,yellow warbler
tsı̨ąt'oh,bird's nest
tsı̨ąwò,condom
tsı̨ąyè,bird's egg
tsı̨̀dets'ı̨ı̨hɂah,create problems for oneself; create trouble for oneself
tsı̨ehtsıh,knead
tsıehts'ı,snowstorm
tsıehts'ı,blowing snow; snow storm
tsı̨goèhtł'ı̨,be wrapped in a shawl
tsı̨̀gots'ehwhı,pollute; destroy
Tsıghàhtsı,Arctic Red River
tsıh,ochre
tsıh,mallard
Tsıhkǫ̀,Fort McPherson
Tsıhkǫ̀,Fort McPherson (old word)
tsı̨hkǫǫ̀ wheda,live alone; live as a single person
tsı̨hkwı̨,woodpecker
tsıhkwǫ̀,duck meat
tsı̨hkw'à,wooden plate
tsı̨htèa,apron
tsıhtǫ,large kettle with curved spout; tea kettle
tsıhtso,green-winged mallard
tsı̨ı̨geèhtł'ı̨,he has bundled it together
tsı̨ı̨hkǫ gǫǫza,children of single mothers
tsı̨ı̨nę̀,ladybug
tsı̨k'è,north
tsı̨k'è nı̨hts'ıı̀,north wind
tsı̨̀ts'ehwhı,make (someone) suffer; ruin; destroy; abuse
tsı̨̀ts'ı̨ı̨hɂah,create problems for; create trouble for
tsı̨̀wı,get spoiled; get rotten; get ruined
tsı̨̀wıts'èehɂah,bribe; spoil (someone)
tsı̨̀wıts'eèwah,throw (plural objects) in (someone's) face
tso,firewood; log; dry wood
tsǫ,rain
tsǫ̀,poop; feces; shit; excrement; droppings
tsǫ at'ı̨,be raining
tso behchı̨ı̨̀,wood truck
tso behchı̨ı̨̀ ełek'èèdaà whelaa,two-piece wood sled
tso behtsı̨ı̨̀,wood truck
tso dèhdlı̨ı̨,greenwood
tso dèk'ǫ̀ǫ satsǫ̀ǫ̀,woodstove
tso ełet'à naxoı̀kè,logs laid across each other at ninety-degree angle
tso ı̨hdzıı,rotten wood
tso ı̨hjıı,rotten wood
Tsǫ łǫ at'ı̨.,It's raining a lot.
tso satsǫ̀,woodstove
tso tàekwı̨ı̨,cut wood
tsǫ̀ t'à xàts'etłaa,bowel movement
tso ts'eekwı̨̀ı̨ nı̨htł'è,timber permit
tso whegǫǫ,dry-wood
tsoba,dry-wood
tsobeè,saw
tsogheè,cord of wood
tsogwı̀a,wood chips; scraps of wood
tsǫgwı̀a,drizzle; light rain
tsoh,feathers; down feathers
tsǫh,dirt
tsǫhɂeè,raincoat
tsohàgogeèhwho,they went to get wood
tsohkwı̨ı̨̀,wood chips
tsǫhkw'òa,"wet, small rain"
tsǫhoòwo,storm
tsǫht'è,crowberry
tsohts'ò,down-filled blanket
tsǫ̀kǫ̀,outhouse; washroom; toilet
tsǫ̀kǫ̀,outhouse; washroom; toilet
Tsǫ̀kǫ̀ Nats'edèe Ts'ǫǫ̀hk'e,About Going to the Bathroom
tsǫkw'àà,dampness of rain
tsolè,sawdust
tsomba,dry-wood
tsoòhgà,entrance of house or tent; doorway
tsoòhwı̨ı̨,wood chips
tsǫ̀tı̀,sewage lagoon
Tsǫ̀tı̀,Lac La Martre
Tsǫ̀tı̀ Deè,Lac La Martre River
tsǫ̀tǫǫ̀,honey bucket; toilet
tsowà tso,"dead or burned tree, still standing"
tsoyeè,cord of wood
tsǫ̀behchı̨ı̨̀,sewage truck
ts'à,preventing something from happening; against
ts'aelǫ̀,grasshopper
ts'àèt'ıı,ribbon
ts'ah,hat
ts'ah dezı̀ı,helmet
ts'ah dezhı̀ı,helmet
ts'ah mahkà,cowboy hat; broad-brimmed hat
ts'ah mahkà mǫǫ̀ whet'ıı,ribbon or cord around the hat
ts'ahdąą,hat trim; fur trim on hood
ts'aht'ı̨ı̨̀,girl at her first menstruation (old word)
ts'aht'ı̨ı̨̀ gòlèe,puberty; coming of age; forming of personality
ts'aht'ınè,girl at her first menstruation (old word)
ts'alı,frog
ts'àłets'ewǫ,uncooperative; suspicious of each other
ts'arı,frog
ts'àrı łè <?>,mushroom
ts'àrıkwǫ̀ <?>,mushroom
ts'arıkwǫǫ̀,"medicinal plant for swelling, tall, yellowish, near rocks"
ts'àrınǫɂ <?>,grasshopper
ts'ata k'eı̨t'àa,hair bangs
ts'ata k'ı̨ı̨t'a,hair bangs
ts'atà whelaa,they are readily available /in place/ organized
ts'atàa,ready; convenient
ts'àts'eeghe,threaten; scare
wets'àts'eehdı̀,pay
ts'àts'ehyeh,scare
ts'àts'ejı̨,be afraid
ts'àts'ı̨ı̨wǫ,hold a grudge; give the silent treatment
ts'ayı̨̀ą,tam
ts'azhıı,hair bangs
ts'e degǫa,chocolate; chocolate bar
ts'eɂà,eat
ts'eɂà,eat; chew
ts'eɂı̨̀,see; meet; visit
ts'eɂı̨̀,see; encounter; meet up; visit; experience
ts'ebo,stretch on a frame
ts'edè,eat; is edible
ts'edè,eat (plural things); take (medicine)
ts'edè,eat (plural things); take (medicine)
ts'edeet'ı̀,smoke tobacco
ts'edı,say; tell
ts'edǫ,drink
ts'edǫ,drink (large amount)
ts'edǫǫ kǫ̀,bar (place)
ts'edzèh,"seal (for example, with spruce gum); caulk"
ts'edzı̀,breathe
ts'edzı̨,sing
ts'eeɂè,go by boat; leave in a boat
ts'eeɂè,start out by boat
ts'eeɂı̨̀,steal
ts'eechı,bring
ts'eedè,get drunk (plural)
ts'eedè,go (plural)
ts'eedè,leave (plural)
ts'eedzı̨,be scared; be afraid; be frightened
ts'eedzı̨-le,be brave; be not afraid
ts'eeghǫ,snore
ts'eehchı,push away/ aside
ts'eèhde,choke on food
ts'eehdè / ts'ehdè,throw (plural); toss (plural)
ts'eehdı,play an instrument; produce sound from an instrument
ts'eèhdzà,try out; test; tempt
ts'eèhdzà,try; test
ts'eehdzı̨,scare; frighten
ts'eehjı̨,scare; frighten
ts'eehk'a,throw
ts'eèhk'ǫ,burn; keep burning; light up; switch on light
ts'eèhk'ǫ̀,burn
ts'eèhk'ǫ̀ǫ,(event or action of) burning
ts'eèhkw'e,be (located) (plural); sit (plural); stay (plural)
ts'eèhkw'e k'è,living room
ts'eèhkw'ee kǫ̀,living room; waiting room
ts'eèhkw'ǫ,hear; listen to
ts'eèhkw'ǫ,hear
ts'eèhkw'ǫ,hear
ts'eehnè,win
ts'eehnè,win; succeed; gain; attain; acquire
ts'eehse,raise (a child); bring up (a child); grow (plants); cultivate (plants)
ts'eehse,raise/grow; bring up; rear; nurture
ts'eehsı̀,throw at (with small objects); pelt (with small objects)
ts'eehsı̀,whistle
ts'eehshe,raise/grow; bring up; rear; nurture
ts'eehshe,raise (a child); bring up (a child); grow (plants); cultivate (plants)
ts'eehshı̀,throw at (with small objects); pelt (with small objects)
ts'eehshı̀ / ts'ehsı̀,throw (stones) at; hit (with hammer)
ts'eehtà / nàts'eehtà,kick
ts'eeht'ı,hit with the fist; punch
ts'eeht'ı̀,pull
ts'eehtsè,throw pointed object
ts'eehtsò,ring (bells)
ts'eehxà,hit with a stick; beat on
ts'eèhyeh,be frightened; panic
ts'eejı̨,be scared; be afraid; be frightened
ts'eejı̨,be afraid; be scared
ts'eejı̨-le,be brave; be not afraid
ts'eekè,ask for; propose for marriage
ts'eekè,ask; beg; propose
ts'eekè <?>,hiccups
ts'eekoh,cough
ts'eekwà,sit
ts'eèkw'o,understand; listen
ts'eelı,sew
ts'eelı̀,pull; we pull
ts'eelı̀,pull
ts'eeshı̀,whistle
ts'eetè,go to bed; go to sleep; fall sleep
ts'eet'a,split fish
ts'eet'aa,airplane
ts'eet'è,be of a certain number
ts'eet'eè,be included in a number
ts'eetła,start out (one person); leave (one person); go (one person); land (a plane)
ts'eetł'è,write; paint; mark
ts'eetł'ı,fart; pass wind
ts'eetł'ı̨,braid; tie
ts'eeze,grow; grow up
ts'eezè,spit
ts'eezè,leave for hunting
ts'eezı,slip; slide
ts'eezhe,grow; grow up
ts'ego,stab; poke; prick; inject; vaccinate
ts'egoo,stab (needle shot; playing pool)
ts'eghah,lace; weave
ts'egho,scrape (hide)
ts'eghǫ,fight; make war
ts'eghoh,shake out (cloth object)
ts'ehɂa,send (someone); ask someone to do a job
ts'ehɂa,order; hire
ts'ehbe,boil
ts'ehche,cook by stewing; stew
ts'ehch'ı,pluck; peel
ts'ehdè,throw (plural); toss (plural)
ts'ehdzı̀,catch with hook; hook
ts'ehgòò,shave (wood); plane (wood)
ts'ehgǫǫ̀,dry
ts'ehjı̀,catch with hook; hook
ts'ehk'è,shoot
ts'ehkw'e,lap (as a dog drinking); slurp
ts'ehła,store; keep in storage; stash
ts'ehłè,become; change to become; turn into
ts'ehłı̀,catch by net or fish hook
ts'ehłı̨,trembling; shaking; shivering
ts'ehsò,blow on
ts'ehshò,blow on
ts'ehtà,count
ts'ehtà,shoot with bow and arrow
ts'ehtı̀,stir; mix
ts'eht'è,cook; bake; fry
ts'eht'ı̀,pull
ts'eht'ò,suck; pump
ts'ehtł'ı̀,pour (into container)
ts'ehtse,cook by stewing; stew
ts'ehtsı̨,make; fabricate
ts'ehtsǫ,smell
ts'ehtsǫ,scent; smell; sniff
ts'ehts'ı,pluck fowl
ts'ehwhe,tan; soften
ts'ehwhe,cut up; work on hides
ts'ehxà,gnaw
ts'eı̀zı̀ı,name; pronounce
ts'ejı̀,breathe
ts'ejı̨,sing
ts'ejı̀ı,breathing
ts'ejı̀ı k'è,respiratory system
ts'ejı̀ı k'è gok'à,trachea
ts'eke,be (located) (two people); sit (two people); stay (two people)
ts'èko,woman; girl; queen in cards
ts'èko enı̨htł'è k'elee dǫǫ̀,post mistress
ts'èko goht'ǫǫ̀,sanitary napkins
ts'èko kàedaa k'è,female genitals
ts'èko k'àowo,queen
ts'èko nàelı dǫ <??>,Women's Association
ts'èko ǫhdaà,older woman; elderly woman
ts'èko ts'aà,woman's cap
ts'èko ts'ı̨ı̨lı̨ı̨,period; menstruation
ts'èko ts'ı̨ı̨lı̨ı̨ ghǫ nats'et'èe,menopause
ts'èko wedzagee,female genitals; vagina
ts'èko wekaà wet'à webebı̀a hołèe,sex glands (female)
ts'èko wekwo k'è,vagina
ts'èko weyı̀ı wek'enaetsee (sıı̀goɂı̨ı̨),D and C
ts'èkoa,girl; teenage girl
ts'èkodzıı,loose woman; prostitute; wicked woman
ts'èkojıı,loose woman; prostitute; wicked woman
ts'ek'a,"eat (meat, orange, etc)"
ts'ek'eɂeɂà,iron
ts'ekwa,squat down; sit down
ts'ela,sing
ts'elı̀,catch with a snare or net
ts'ete,sleep (plural)
ts'ete,be asleep; lie around; recline
ts'etee kǫ̀ą,bedroom
ts'etı̨,sleep (singular)
ts'et'à,cut
ts'èt'ı̨,treat like (friend; enemy)
ts'èt'ı̨ą,grayling; bluefish
ts'et'ı̀ı,tobacco; cigarette
ts'et'ı̀ı ch'ıı̀,marijuana
ts'et'ı̀ı dzèè,chewing tobacco
ts'et'ı̀ı ehdoa,twist of chewing-tobacco
ts'et'ı̀ı kàdzèe,block of chewing tobacco
ts'et'ı̀ı nàèdı,marijuana
ts'et'ı̀ı nats'eèhk'ǫ̀ą,cigarette lighter
Ts'et'ı̀ı saąɂà.,Give me a cigarette.
ts'et'ı̀ı tł'ehwò,tobacco pouch
ts'et'ı̀ı ts'ehtsı̨ı̨,"loose tobacco for rolling cigarettes; homemade tobacco; ""roll your owns"""
ts'et'ı̀ıkw'à,ashtray
ts'et'ı̀ıloò,cigarette smoke
ts'et'ı̀ıtı,tobacco spit
ts'èt'ǫǫ̀,dirt; dustball
ts'etł'ı̨,knit
ts'etse,cry
ts'etsǫ̀,poop; have a bowel movement
ts'etsòo k'è,anus
ts'etsǫ̀ǫ k'è godohtł'ıı̀ ı̨̀ghàa,piles
ts'ets'è,drink; to sip
ts'ets'ı̀,comb
ts'ets'ı̨̀,kiss
ts'ets'ò,scratch (it)
ts'ewı,wake up (one person)
ts'èwhı̨̀ą,slowly; quietly; softly; carefully; peacefully
ts'èwhı̨̀ą gots'ede,whisper; speak slowly
ts'èwhı̨ı̨̀,slowly; quietly; softly; carefully; peacefully
Ts'èwhı̨ı̨̀!,Take it easy! Calm down!
ts'eyeet'ı̀,smoke tobacco
ts'eyehwhı,wake (him/her)
ts'ezè,spit (it)
ts'ezeh,call; yell
ts'ezeh,shout; scream
ts'èzǫǫ̀,old woman
ts'èzǫǫ̀ko,old woman
ts'èzǫǫ̀kwǫǫ̀,"type of bird, marbled Godwit"
ts'èzhǫǫ̀,old woman
ts'èzhǫǫ̀ko,old woman
ts'èzhǫǫ̀kwǫǫ̀,"type of bird, marbled Godwit"
ts'ı,tree; spruce
ts'ı,boat
ts'ı dèhdlı̨ı̨,spruce greenwood
ts'ı edeèyèe,fallen tree
ts'ı gèdı̀ı dǫǫ̀,captain of boat; helmsman
ts'ı k'èdı̀ı dǫǫ̀,captain of boat; helmsman
ts'ı k'èndı̀ı dǫǫ̀,captain of boat; helmsman
Ts'ı Tı̀,Big Spruce Lake
ts'ı wet'ıı̀,spruce bark
ts'ı xoò,spruce root
ts'ıɂǫ̀ hots'eeɂà,error; go astray; off track
ts'ıɂǫ̀ǫ̀,gone astray; confused
ts'ıɂǫ̀ǫ̀ etła,get lost (one person)
ts'ıɂǫ̀ǫ̀ hoewı,time is wasted
ts'ıɂǫ̀ǫ̀ whàgots'ede,babble
ts'ıahkwı̀a,small spruce tree
ts'ıant'aa,split fish
ts'ıchı̨ı̨̀,big roots of a tree
ts'ıch'oò,porcupine quill
ts'ı̀da,small female caribou one to two years old
ts'ı̀daa,"young caribou, 2 or 3 years old"
ts'ıdalà,tree top
ts'ıdzèè,spruce gum
ts'ıdzǫǫ̀,black beetle
ts'ıet'aa,airplane
ts'ıet'aa k'è,airport; air-strip
ts'ıet'aa k'èndı̀ı dǫǫ̀,pilot
ts'ıet'aa wet'oò whı̀le,jet plane
ts'ıet'aa whelaa kǫ̀,hangar
ts'ıetsı̨ı̨̀,tree trunk
ts'ıghoò,pack sack
ts'ıghoò,spruce roots
ts'ıh,porcupine
ts'ı̨hɂǫ̀,because; on account of
